Master_Date,Master_Entity,Master_Text,Master_Source,Dataset_Type
2015,Cerner,"Cerner wins $4.3 billion DoD contract to overhaul electronic health ... | Jul 29, 2015 ... Epic, Allscripts and Cerner, all heavy-hitters in the health records industry, were the three finalists.",https://www.washingtonpost.com/national/health-science/cerner-wins-dod-contract-to-overhaul-electronic-health-records/2015/07/29/7fbfccfa-35f5-11e5-b673-1df005a0fb28_story.html,News Article
2015,Cerner,"Massive digital health system for veterans plagued by patient safety ... | Mar 17, 2022 ... About half of digital medical records programs at private hospitals fail at first, she said. DOD, which is ahead of VA in its own Cerner ...",https://www.washingtonpost.com/elections/2022/03/17/veterans-health-records-failure/,News Article
2015,Cerner,"Breathing New Life Into Apache Medical? - The Washington Post | Feb 14, 2001 ... Under the agreement, Cerner would acquire most of Apache's employees and products, Apache officials said. Cerner, which reported $405 ...",https://www.washingtonpost.com/archive/business/2001/02/15/breathing-new-life-into-apache-medical/96229ae0-64df-42da-85ae-d38ddbae05fd/,News Article
2015,Cerner,"Multi-billion-dollar records system for veterans halted due to serious ... | Jul 14, 2021 ... ... Cerner, the health technology giant building the system; and a leadership shake-up, the details of which he did not publicly release. The ...",https://www.washingtonpost.com/politics/va-veterans-records-system/2021/07/14/fd508732-e4e9-11eb-8aa5-5662858b696e_story.html,News Article
2015,Cerner,"Computerizing Medical Records - The Washington Post | Dec 16, 2006 ... Added Rick Heise, an executive with Kansas City-based software provider Cerner Corp.: ""It's created a huge amount of excitement, so there's an ...",https://www.washingtonpost.com/archive/politics/2006/12/17/computerizing-medical-records-span-classbankheadgovernment-paves-way-for-technology-to-benefit-more-peoplespan/64569ddf-4fbb-4365-ae3b-a77c9b3ff3a0/,News Article
2015,Cerner,"A devoted pediatric surgeon makes a case for care designed for ... | Jun 16, 2017 ... ... Cerner, a medical software company. (Jeffrey MacMillan). By Nancy Szokan. Kurt Newman was a third-year medical student when a lump in his ...",https://www.washingtonpost.com/national/health-science/a-devoted-pediatric-surgeon-makes-a-case-for-care-designed-for-children/2017/06/15/b4c0f12e-5059-11e7-91eb-9611861a988f_story.html,News Article
2015,Cerner,"Tech firms vie for $11 billion military healthcare contract as deadline ... | Oct 19, 2014 ... As the Oct. 31 deadline approaches, teams bidding for the contract include Epic, Cerner and AllScripts.",https://www.washingtonpost.com/business/on-it/tech-firms-vie-for-11-billion-military-healthcare-contract-as-deadline-looms/2014/10/19/ac3cdc7e-53d2-11e4-ba4b-f6333e2c0453_story.html,News Article
2015,Cerner,"Meet InReturn Strategies, a start-up tackling the disability ... | Jan 5, 2021 ... Now, Geary works at Cerner, a global health-care technology company, where his decades of experience navigating the medical system inform ...",https://www.washingtonpost.com/business/2021/01/05/inreturn-strategies-inclusion-disability/,News Article
2015,Cerner,"Pentagon gets ready to award big contract for electronic medical ... | Jul 29, 2015 ... ... Cerner and Allscripts Healthcare Solutions. “We are not just buying an off-the-shelf system; we're really looking to modernize how the ...",https://www.washingtonpost.com/national/health-science/pentagon-gets-ready-to-award-big-contract-for-electronic-medical-records/2015/07/27/a3121672-1e85-11e5-aeb9-a411a84c9d55_story.html,News Article
2015,David Ellison,"Paramount begins laying off 2,000 people months after Skydance ... | Oct 29, 2025 ... David Ellison, whose Skydance bought the media conglomerate this summer for $8 billion, announces move “addressing redundancies.”",https://www.washingtonpost.com/business/2025/10/29/paramount-skydance-layoffs/,News Article
2015,David Ellison,"CNN's future uncertain as owner Warner Bros. Discovery explores ... | Oct 21, 2025 ... Paramount Skydance CEO David Ellison has reportedly expressed interest in buying the company, in a sale that could place CNN and CBS under ...",https://www.washingtonpost.com/business/2025/10/21/warner-bros-discovery-sale-cnn/,News Article
2015,David Ellison,"Senators press incoming CBS owner on Trump's claim of settlement ... | Jul 21, 2025 ... Liberal lawmakers asked David Ellison, chief executive of Skydance Media, which is set to merge with CBS owner Paramount, about alleged ...",https://www.washingtonpost.com/business/2025/07/21/paramount-skydance-trump-cbs-settlement/,News Article
2015,David Ellison,"FCC approves $8 billion Paramount-Skydance merger after lengthy ... | Jul 24, 2025 ... David Ellison, chief executive of Skydance Media, in May. (Charly Triballeau/AFP/Getty Images). By Jeremy Barr. The Federal Communications ...",https://www.washingtonpost.com/business/2025/07/24/fcc-approves-8-billion-paramount-skydance-merger-after-lengthy-review/,News Article
2015,David Ellison,"Bari Weiss named editor in chief of CBS News - The Washington Post | Oct 6, 2025 ... The founder of the Free Press, a website critical of mainstream media, will report directly to Paramount CEO David Ellison.",https://www.washingtonpost.com/business/2025/10/06/bari-weiss-cbs-paramount/,News Article
2015,David Ellison,"ROYAL CRESCENT MOB - The Washington Post | Apr 25, 1988 ... every other mostly white band playing black music hides behind. Lead singer David Ellison grew up next to the guitarist for the Ohio. Players ...",https://www.washingtonpost.com/archive/lifestyle/1988/04/25/royal-crescent-mob/35e87d44-cbfb-4198-bb9d-6f99efc8e198/,News Article
